course_title,course_organization,course_rating,course_difficulty
Blockchain Revolution,INSEAD,4.7,Beginner
Blockchain Revolution in Financial Services,INSEAD,4.6,Beginner
Blockchain: Foundations and Use Cases,ConsenSys Academy,4.7,Beginner
Boosting Creativity for Innovation,HEC Paris,4.9,Beginner
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,4.9,Beginner
Branding: The Creative Journey,IE Business School,4.6,Beginner
Budgeting and Scheduling Projects,"University of California, Irvine",4.7,Mixed
Bugs 101: Insect-Human Interactions,University of Alberta,4.9,Beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,4.9,Mixed
Building Batch Data Pipelines on GCP,Google Cloud,4.5,Intermediate
Building Conversational Experiences with Dialogflow,Google Cloud,4.5,Beginner
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,4.6,Intermediate
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,4.3,Intermediate
Building Your Leadership Skills,HEC Paris,4.5,Mixed
Business Analytics,University of Pennsylvania,4.6,Beginner
Business English,Arizona State University,4.7,Intermediate
Business English Communication Skills,University of Washington,4.7,Intermediate
Business English: Networking,University of Washington,4.7,Intermediate
Business Foundations,University of Pennsylvania,4.7,Beginner
Business Model Innovation,HEC Paris,4.7,Mixed
Business Statistics and Analysis,Rice University,4.7,Beginner
Business Strategies for A Better World,University of Pennsylvania,4.7,Beginner
Business Strategy,University of Virginia,4.7,Beginner
Business Technology Management,Indian School of Business,4.5,Beginner
Business Transformation with Google Cloud,Google Cloud,4.7,Beginner
Business Writing,University of Colorado Boulder,4.8,Beginner
Business and Financial Modeling,University of Pennsylvania,4.5,Beginner
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",4.5,Beginner
C# Programming for Unity Game Development,University of Colorado System,4.7,Beginner
COVID-19 Contact Tracing,Johns Hopkins University,4.9,Beginner
COVID-19: What You Need to Know (CME Eligible),Osmosis,4.8,Beginner
"Cameras, Exposure, and Photography",Michigan State University,4.7,Mixed
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,4.7,Beginner
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,4.6,Mixed
Career Success,"University of California, Irvine",4.4,Beginner
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,4.8,Beginner
Chemicals and Health,Johns Hopkins University,4.7,Beginner
Chicken Behaviour and Welfare,The University of Edinburgh,4.7,Mixed
Child Nutrition and Cooking,Stanford University,4.7,Beginner
Chinese for HSK 1,Peking University,4.8,Beginner
Cisco Networking Basics,Cisco,4.7,Beginner
Classical Sociological Theory,University of Amsterdam,4.8,Mixed
Claves de la Dirección de Empresas,IESE Business School,4.8,Beginner
Climate Change and Health: From Science to Action,Yale University,4.6,Beginner
Clinical Terminology for International and U.S. Students,University of Pittsburgh,4.8,Beginner
Cloud Computing,University of Illinois at Urbana-Champaign,4.4,Intermediate
Cloud Computing Basics (Cloud 101),LearnQuest,4.5,Beginner
Cloud Engineering with Google Cloud,Google Cloud,4.7,Intermediate
Coaching Skills for Managers,"University of California, Davis",4.7,Intermediate
Code Yourself! An Introduction to Programming,The University of Edinburgh,4.7,Beginner
Communication Skills for Engineers,Rice University,4.7,Beginner
Communication Strategies for a Virtual Age,University of Toronto,4.8,Beginner
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,4.9,Beginner
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,4.7,Beginner
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),4.7,Intermediate
Computational Social Science,"University of California, Davis",4.6,Beginner
Computational Thinking for Problem Solving,University of Pennsylvania,4.8,Beginner
Computer Security and Systems Management,University of Colorado System,4.6,Beginner
Conflict Management,"University of California, Irvine",4.3,Beginner
Construction Cost Estimating and Cost Control,Columbia University,4.7,Beginner
Construction Management,Columbia University,4.7,Beginner
Construction Project Management,Columbia University,4.8,Beginner
Construction Scheduling,Columbia University,4.8,Beginner
Contabilidad para no contadores,Universidad Nacional Autónoma de México,4.7,Beginner
Content Strategy for Professionals,Northwestern University,4.5,Beginner
Continuous Delivery & DevOps,University of Virginia,4.6,Beginner
Control of Mobile Robots,Georgia Institute of Technology,4.8,Mixed
Convolutional Neural Networks,deeplearning.ai,4.9,Intermediate
Convolutional Neural Networks in TensorFlow,deeplearning.ai,4.7,Intermediate
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,4.8,Intermediate
Corporate Finance Essentials,IESE Business School,4.8,Mixed
Corporate Strategy,UCL School of Management,4.8,Beginner
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,4.6,Mixed
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,4.6,Beginner
Cost and Economics in Pricing Strategy,University of Virginia,4.8,Beginner
Costos para los Negocios,Universidad de Chile,4.8,Intermediate
Crash Course on Python,Google,4.8,Beginner
Creative Problem Solving,University of Minnesota,4.3,Mixed
Creative Writing,Wesleyan University,4.6,Beginner
Creative Writing: The Craft of Plot,Wesleyan University,4.7,Mixed
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,4.7,Beginner
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,4.8,Intermediate
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,4.8,Intermediate
Culture-Driven Team Building,University of Pennsylvania,4.6,Beginner
Curanderismo: Traditional Healing Using Plants,University of New Mexico,4.6,Beginner
Customer Segmentation and Prospecting,Northwestern University,4.7,Beginner
Cybersecurity,"University of Maryland, College Park",4.5,Intermediate
Cybersecurity and Its Ten Domains,University System of Georgia,4.2,Beginner
Cybersecurity for Business,University of Colorado System,4.6,Beginner
Cómo hablar bien en público,Universitat Autònoma de Barcelona,4.8,Beginner
Dairy Production and Management,The Pennsylvania State University,4.8,Mixed
Data Analysis and Interpretation,Wesleyan University,4.4,Beginner
Data Analysis and Presentation Skills: the PwC Approach,PwC,4.6,Beginner
Data Analysis with Python,IBM,4.7,Beginner
Data Analytics for Lean Six Sigma,University of Amsterdam,4.8,Beginner
Data Collection and Processing with Python,University of Michigan,4.7,Intermediate
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,4.4,Intermediate
Data Engineering with Google Cloud,Google Cloud,4.6,Intermediate
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,4.6,Intermediate
Data Management for Clinical Research,Vanderbilt University,4.7,Beginner
Data Mining,University of Illinois at Urbana-Champaign,4.4,Intermediate
Data Science,Johns Hopkins University,4.5,Beginner
Data Science Math Skills,Duke University,4.5,Beginner
Data Science Methodology,IBM,4.6,Beginner
Data Science: Foundations using R,Johns Hopkins University,4.6,Beginner
Data Science: Statistics and Machine Learning,Johns Hopkins University,4.4,Intermediate
Data Visualization and Communication with Tableau,Duke University,4.7,Mixed
Data Visualization with Advanced Excel,PwC,4.8,Beginner
Data Visualization with Python,IBM,4.6,Intermediate
Data Visualization with Tableau,"University of California, Davis",4.5,Beginner
Data Warehousing for Business Intelligence,University of Colorado System,4.5,Advanced
Data and Health Indicators in Public Health Practice,Johns Hopkins University,4.7,Beginner
Data-driven Decision Making,PwC,4.6,Beginner
Databases and SQL for Data Science,IBM,4.7,Beginner
De-Mystifying Mindfulness,Universiteit Leiden,4.8,Beginner
Decision-Making and Scenarios,University of Pennsylvania,4.6,Mixed
Deep Learning,deeplearning.ai,4.8,Intermediate
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,4.8,Beginner
Dentistry 101,University of Michigan,4.7,Beginner
Dermatology: Trip to skin,Novosibirsk State University ,4.4,Beginner
Design Thinking for Innovation,University of Virginia,4.6,Beginner
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,4.6,Beginner
Design and Interpretation of Clinical Trials,Johns Hopkins University,4.7,Mixed
Design and Make Infographics (Project-Centered Course),Michigan State University,4.7,Mixed
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,4.6,Intermediate
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,4.6,Intermediate
Developing Applications with Google Cloud Platform,Google Cloud,4.7,Intermediate
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,4.8,Intermediate
Developing Industrial Internet of Things,University of Colorado Boulder,4.6,Intermediate
Developing Your Musicianship,Berklee College of Music,4.8,Mixed
Devenir entrepreneur du changement,Ticket for Change,4.7,Mixed
Digital Advertising Strategy,University of Colorado Boulder,4.4,Beginner
Digital Business Models,Lund University,4.5,Beginner
Digital Manufacturing & Design Technology,University at Buffalo,4.6,Beginner
Digital Marketing,University of Illinois at Urbana-Champaign,4.6,Beginner
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,4.4,Mixed
Digital Product Management,University of Virginia,4.7,Beginner
Digital Product Management: Modern Fundamentals,University of Virginia,4.7,Beginner
Dino 101: Dinosaur Paleobiology,University of Alberta,4.5,Beginner
Discrete Optimization,The University of Melbourne,4.9,Intermediate
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,4.6,Beginner
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,4.9,Beginner
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,4.8,Intermediate
Dog Emotion and Cognition,Duke University,4.6,Mixed
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,4.8,Beginner
Drug Commercialization,University of California San Diego,4.7,Beginner
Drug Discovery,University of California San Diego,4.6,Beginner
Dynamic Public Speaking,University of Washington,4.7,Beginner
EMT Foundations,University of Colorado System,4.8,Beginner
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,4.8,Intermediate
Econometrics: Methods and Applications,Erasmus University Rotterdam,4.7,Mixed
Economics of Money and Banking,Columbia University,4.9,Mixed
Ecosystem Services: a Method for Sustainable Development,University of Geneva,4.7,Intermediate
Effective Compliance Programs,University of Pennsylvania,4.9,Mixed
Egiptología (Egyptology),Universitat Autònoma de Barcelona,4.9,Beginner
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,5.0,Beginner
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,4.7,Intermediate
Electric Industry Operations and Markets,Duke University,4.8,Beginner
Electronic Music Production,Berklee College of Music,4.8,Intermediate
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,4.6,Beginner
"Energy Production, Distribution & Safety",University at Buffalo,4.7,Beginner
Engineering Health: Introduction to Yoga and Physiology,New York University,4.8,Beginner
Engineering Project Management: Initiating and Planning,Rice University,4.7,Beginner
English Composition I,Duke University,4.6,Beginner
English for Business and Entrepreneurship,University of Pennsylvania,4.8,Beginner
English for Career Development,University of Pennsylvania,4.8,Mixed
English for Journalism,University of Pennsylvania,4.8,Mixed
English for Research Publication Purposes,Moscow Institute of Physics and Technology,4.6,Intermediate
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,4.8,Beginner
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,4.4,Beginner
Entrepreneurial Finance: Strategy and Innovation,Duke University,4.5,Intermediate
Entrepreneurship,University of Pennsylvania,4.8,Beginner
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,4.8,Mixed
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,4.8,Mixed
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,4.7,Beginner
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,4.8,Beginner
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",4.6,Beginner
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,4.8,Mixed
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,4.7,Mixed
Epidemiology for Public Health,Imperial College London,4.7,Beginner
Epidemiology in Public Health Practice,Johns Hopkins University,4.7,Beginner
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,4.6,Mixed
Epigenetic Control of Gene Expression,The University of Melbourne,4.8,Mixed
Equine Welfare and Management,"University of California, Davis",4.8,Beginner
Esports,"University of California, Irvine",4.5,Beginner
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,4.7,Beginner
Essential Google Cloud Infrastructure: Core Services,Google Cloud,4.7,Intermediate
Essential Google Cloud Infrastructure: Foundation,Google Cloud,4.7,Intermediate
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,4.8,Intermediate
Essentials of Corporate Finance,The University of Melbourne,4.6,Intermediate
Essentials of Global Health,Yale University,4.8,Mixed
Estadística y probabilidad,Universidad Nacional Autónoma de México,4.7,Beginner
Evaluación educativa,Universidad Nacional Autónoma de México,4.8,Beginner
"Everyday Excel, Part 1",University of Colorado Boulder,4.8,Beginner
Everyday Parenting: The ABCs of Child Rearing,Yale University,4.9,Beginner
Excel Skills for Business,Macquarie University,4.9,Beginner
Excel Skills for Business: Advanced,Macquarie University,4.7,Intermediate
Excel Skills for Business: Essentials,Macquarie University,4.9,Beginner
Excel Skills for Business: Intermediate I,Macquarie University,4.9,Intermediate
Excel Skills for Business: Intermediate II,Macquarie University,4.8,Intermediate
Excel to MySQL: Analytic Techniques for Business,Duke University,4.6,Beginner
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,4.8,Beginner
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,4.8,Beginner
Executive Data Science,Johns Hopkins University,4.5,Beginner
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,4.8,Beginner
Fashion as Design,The Museum of Modern Art,4.8,Beginner
Feminism and Social Justice,"University of California, Santa Cruz",4.8,Beginner
FinTech Law and Policy,Duke University,4.8,Beginner
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,4.6,Beginner
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,4.7,Beginner
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.5,Beginner
Finance for Non-Finance Professionals,Rice University,4.8,Beginner
Finance for Non-Financial Managers,Emory University,4.4,Intermediate
Financial Accounting Fundamentals,University of Virginia,4.8,Beginner
Financial Acumen for Non-Financial Managers,University of Pennsylvania,4.5,Beginner
Financial Engineering and Risk Management Part I,Columbia University,4.6,Mixed
Financial Management,University of Illinois at Urbana-Champaign,4.7,Intermediate
Financial Markets,Yale University,4.8,Beginner
Financial Markets and Investment Strategy,Indian School of Business,4.5,Beginner
Financial Reporting,University of Illinois at Urbana-Champaign,4.8,Intermediate
Financial Technology (Fintech) Innovations,University of Michigan,4.7,Beginner
Financing and Investing in Infrastructure,Università Bocconi,4.8,Mixed
Finanzas corporativas,Universidad Nacional Autónoma de México,4.6,Intermediate
Finanzas personales,Universidad Nacional Autónoma de México,4.8,Mixed
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,4.7,Beginner
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,4.6,Beginner
First Step Korean,Yonsei University,4.9,Beginner
Food & Beverage Management,Università Bocconi,4.8,Mixed
Forensic Accounting and Fraud Examination,West Virginia University,4.7,Mixed
Formulación y evaluación de proyectos complejos,Universidad de los Andes,4.9,Intermediate
Foundational Finance for Strategic Decision Making,University of Michigan,4.8,Beginner
Foundations of Business Strategy,University of Virginia,4.8,Beginner
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,4.8,Mixed
Foundations of Global Health,Johns Hopkins University,4.7,Beginner
Foundations of Management,IESE Business School,4.8,Beginner
Foundations of Marketing Analytics,Emory University,4.2,Intermediate
Foundations of Positive Psychology,University of Pennsylvania,4.8,Beginner
Foundations of Public Health Practice,Imperial College London,4.8,Beginner
From Data to Insights with Google Cloud Platform,Google Cloud,4.6,Beginner
From the Big Bang to Dark Energy,The University of Tokyo,4.8,Beginner
Front-End Web Development with React,The Hong Kong University of Science and Technology,4.7,Intermediate
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,4.8,Intermediate
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,4.7,Intermediate
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,4.7,Intermediate
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,4.8,Intermediate
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,4.7,Intermediate
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,4.6,Beginner
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,4.6,Beginner
Fundamentals of Computing,Rice University,4.8,Beginner
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,4.7,Mixed
Fundamentals of GIS,"University of California, Davis",4.8,Beginner
Fundamentals of Graphic Design,California Institute of the Arts,4.8,Beginner
Fundamentals of Immunology,Rice University,4.7,Intermediate
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,4.7,Intermediate
Fundamentals of Music Theory,The University of Edinburgh,4.6,Beginner
Fundamentals of Project Planning and Management,University of Virginia,4.7,Beginner
Fundamentals of Quantitative Modeling,University of Pennsylvania,4.6,Mixed
Fundamentals of Reinforcement Learning,University of Alberta,4.8,Intermediate
Fundamentals of Visualization with Tableau,"University of California, Davis",4.5,Beginner
Fundamentos Empresariales,University of Pennsylvania,4.6,Beginner
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,4.6,Beginner
Fundamentos de Excel para Negocios,Universidad Austral,4.7,Beginner
Fundamentos de Finanzas Empresariales,Universidad de los Andes,4.8,Beginner
Fundamentos de la escritura,Tecnológico de Monterrey,4.6,Beginner
Fundraising and Development,"University of California, Davis",4.6,Beginner
Futures Thinking,Institute for the Future,4.8,Beginner
G Suite Administration,Google Cloud,4.7,Beginner
"GIS, Mapping, and Spatial Analysis",University of Toronto,4.8,Beginner
Game Design and Development,Michigan State University,4.7,Intermediate
Game Theory,Stanford University,4.6,Beginner
Gamification,University of Pennsylvania,4.8,Mixed
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,4.7,Beginner
Genomic Data Science,Johns Hopkins University,4.4,Intermediate
Geographic Information Systems  (GIS),"University of California, Davis",4.8,Beginner
Geopolitics of Europe,Sciences Po,4.3,Mixed
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,4.8,Mixed
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,4.7,Mixed
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,4.7,Beginner
Getting Started With Music Theory,Michigan State University,4.5,Beginner
Getting Started with AWS Machine Learning,Amazon Web Services,4.5,Intermediate
Getting Started with Go,"University of California, Irvine",4.6,Intermediate
Getting Started with Google Kubernetes Engine,Google Cloud,4.5,Intermediate
Getting Started with Google Sheets,Google Cloud,4.6,Beginner
Getting Started with SAS Programming,SAS,4.9,Beginner
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,4.6,Mixed
Global Diplomacy: the United Nations in the World,SOAS University of London,4.7,Beginner
Global Energy and Climate Policy,SOAS University of London,4.5,Beginner
Global Environmental Management,Technical University of Denmark (DTU),4.6,Intermediate
Global Financial Markets and Instruments,Rice University,4.6,Mixed
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,4.6,Intermediate
Global Trends for Business and Society,University of Pennsylvania,4.8,Mixed
"Globalization, Economic Growth and Stability",IE Business School,4.8,Intermediate
Good with Words: Writing and Editing,University of Michigan,4.6,Beginner
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,4.6,Intermediate
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,4.7,Intermediate
Google IT Automation with Python,Google,4.7,Beginner
Google IT Support,Google,4.8,Beginner
Grammar and Punctuation,"University of California, Irvine",4.7,Mixed
Graphic Design Elements for Non-Designers,University of Colorado Boulder,4.7,Beginner
Greek and Roman Mythology,University of Pennsylvania,4.8,Mixed
Greening the Economy: Sustainable Cities,Lund University,4.6,Beginner
Guitar for Beginners,Berklee College of Music,4.8,Mixed
Gut Check: Exploring Your Microbiome,University of California San Diego,4.7,Mixed
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,4.8,Mixed
Habilidades Gerenciales,Universidad Nacional Autónoma de México,4.7,Beginner
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,4.8,Mixed
Hardware Description Languages for FPGA Design,University of Colorado Boulder,4.2,Intermediate
Healing with the Arts,University of Florida,4.6,Mixed
Health Informatics,Johns Hopkins University,4.5,Beginner
Health Information Literacy for Data Analytics,"University of California, Davis",4.5,Intermediate
Healthcare Law,University of Pennsylvania,4.7,Intermediate
Healthcare Marketplace,University of Minnesota,4.4,Beginner
Healthcare Organization Operations,Rutgers the State University of New Jersey,4.6,Beginner
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,4.8,Mixed
Homeland Security and Cybersecurity,University of Colorado System,4.7,Beginner
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,4.6,Beginner
How Things Work: An Introduction to Physics,University of Virginia,4.8,Intermediate
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,3.3,Mixed
How to Start Your Own Business,Michigan State University,4.1,Beginner
